date,transaction_id,bill_no,sales_type,gross_amt,gst_amt,total_amt
2024-01-01,1,1,CARD,172.81,5.19,178
2024-01-01,2,2,CASH,61.9,3.1,65
2024-01-01,3,3,CASH,70.0,0.0,70
2024-01-01,4,4,CASH,185.0,0.0,185
2024-01-01,5,5,CASH,76.27,13.73,90
2024-01-01,6,6,CARD,84.82,10.18,95
2024-01-01,7,7,CARD,68.95,3.05,72
2024-01-01,8,8,CARD,37.0,0.0,37
2024-01-01,9,9,CARD,68.47,1.53,70
2024-01-01,10,10,CASH,247.76,11.24,259
2024-01-01,11,11,CASH,153.0,0.0,153
2024-01-01,12,12,CASH,122.0,0.0,122
2024-01-01,13,13,CASH,22.71,2.29,25
2024-01-01,14,14,CARD,12.0,0.0,12
2024-01-01,15,15,CASH,1550.21,17.79,1568
2024-01-01,16,16,CASH,20.0,0.0,20
2024-01-01,17,17,CASH,25.0,0.0,25
2024-01-01,18,18,CASH,14.46,0.54,15
2024-01-01,19,19,CASH,52.0,0.0,52
2024-01-01,20,20,CASH,64.0,0.0,64
2024-01-01,21,21,CARD,50.0,0.0,50
2024-01-01,22,22,CARD,68.2,0.0,68
2024-01-01,23,23,CASH,95.16,10.64,106
2024-01-02,24,1,CASH,83.47,1.53,85
2024-01-02,25,2,SPLIT,128.0,0.0,128
2024-01-02,26,3,CASH,202.0,0.0,202
2024-01-02,27,4,CASH,120.0,0.0,120
2024-01-02,28,5,CARD,262.0,0.0,262
2024-01-02,29,6,CARD,103.63,5.87,110
2024-01-02,30,7,CASH,107.97,1.53,110
2024-01-02,31,8,CASH,186.37,7.63,194
2024-01-02,32,9,CASH,115.0,0.0,115
2024-01-02,33,10,CASH,310.0,0.0,310
2024-01-02,34,11,CASH,53.57,1.43,55
2024-01-02,35,12,CASH,761.37,9.63,771
2024-01-02,36,13,CASH,42.86,2.14,45
2024-01-02,37,14,CASH,55.0,0.0,55
2024-01-02,38,15,CASH,66.2,5.8,72
2024-01-02,39,16,CASH,41.0,0.0,41
2024-01-03,40,1,CASH,101.0,0.0,101
2024-01-03,41,2,CARD,61.0,0.0,61
2024-01-03,42,3,CASH,46.61,8.39,55
2024-01-03,43,4,CARD,55.0,0.0,55
2024-01-03,44,5,CASH,60.0,0.0,60
2024-01-03,45,6,SPLIT,96.0,0.0,96
2024-01-03,46,7,CASH,36.0,0.0,36
2024-01-03,47,8,CASH,55.0,0.0,55
2024-01-03,48,9,CASH,96.0,0.0,96
2024-01-03,49,10,CASH,108.0,0.0,108
2024-01-03,50,11,CASH,868.68,14.82,884
2024-01-03,51,12,CASH,70.0,0.0,70
2024-01-03,52,13,CASH,312.43,8.57,321
2024-01-03,53,14,CASH,88.84,4.66,94
2024-01-03,54,15,CASH,40.0,0.0,40
2024-01-04,55,1,CARD,169.49,30.51,200
2024-01-04,56,2,CASH,107.33,3.67,111
2024-01-04,57,3,CASH,40.25,0.0,40
2024-01-04,58,4,CARD,67.46,8.54,76
2024-01-04,59,5,CASH,56.93,1.07,58
2024-01-04,60,6,CASH,133.0,0.0,133
2024-01-04,61,7,CASH,206.0,0.0,206
2024-01-04,62,8,CASH,1109.89,11.61,1122
2024-01-04,63,9,CASH,207.0,0.0,207
2024-01-04,64,10,CASH,63.56,11.44,75
2024-01-04,65,11,CASH,166.0,0.0,166
2024-01-04,66,12,CASH,148.88,4.12,153
2024-01-04,67,13,CASH,140.93,3.07,144
2024-01-04,68,14,CASH,75.0,0.0,75
2024-01-05,69,1,CASH,119.0,0.0,119
2024-01-05,70,2,CASH,155.92,2.58,159
2024-01-05,71,3,CASH,156.27,13.73,170
