Date,Bill No,CustomerName,SalesType,GrossAmt,GST Amt,TotAmt
01/01/2024,1,    ,CARD,172.81,5.19,178
01/01/2024,2,    ,CASH,61.9,3.1,65
01/01/2024,3,    ,CASH,70,0,70
01/01/2024,4,    ,CASH,185,0,185
01/01/2024,5,    ,CASH,76.27,13.73,90
01/01/2024,6,    ,CARD,84.82,10.18,95
01/01/2024,7,    ,CARD,68.95,3.05,72
01/01/2024,8,    ,CARD,37,0,37
01/01/2024,9,    ,CARD,68.47,1.53,70
01/01/2024,10,    ,CASH,247.76,11.24,259
01/01/2024,11,    ,CASH,153,0,153
01/01/2024,12,    ,CASH,122,0,122
01/01/2024,13,    ,CASH,22.71,2.29,25
01/01/2024,14,    ,CARD,12,0,12
01/01/2024,15,    ,CASH,1550.21,17.79,1568
01/01/2024,16,    ,CASH,20,0,20
01/01/2024,17,    ,CASH,25,0,25
01/01/2024,18,    ,CASH,14.46,0.54,15
01/01/2024,19,    ,CASH,52,0,52
01/01/2024,20,    ,CASH,64,0,64
01/01/2024,21,    ,CARD,50,0,50
01/01/2024,22,    ,CARD,68.2,0,68
01/01/2024,23,    ,CASH,95.16,10.64,106
02/01/2024,1,    ,CASH,83.47,1.53,85
02/01/2024,2,    ,SPLIT,128,0,128
02/01/2024,3,    ,CASH,202,0,202
02/01/2024,4,    ,CASH,120,0,120
02/01/2024,5,    ,CARD,262,0,262
02/01/2024,6,    ,CARD,103.63,5.87,110
02/01/2024,7,    ,CASH,107.97,1.53,110
02/01/2024,8,    ,CASH,186.37,7.63,194
02/01/2024,9,    ,CASH,115,0,115
02/01/2024,10,    ,CASH,310,0,310
02/01/2024,11,    ,CASH,53.57,1.43,55
02/01/2024,12,    ,CASH,761.37,9.63,771
02/01/2024,13,    ,CASH,42.86,2.14,45
02/01/2024,14,    ,CASH,55,0,55
02/01/2024,15,    ,CASH,66.2,5.8,72
02/01/2024,16,    ,CASH,41,0,41
03/01/2024,1,    ,CASH,101,0,101
03/01/2024,2,    ,CARD,61,0,61
03/01/2024,3,    ,CASH,46.61,8.39,55
03/01/2024,4,    ,CARD,55,0,55
03/01/2024,5,    ,CASH,60,0,60
03/01/2024,6,    ,SPLIT,96,0,96
03/01/2024,7,    ,CASH,36,0,36
03/01/2024,8,    ,CASH,55,0,55
03/01/2024,9,    ,CASH,96,0,96
03/01/2024,10,    ,CASH,108,0,108
03/01/2024,11,    ,CASH,868.68,14.82,884
03/01/2024,12,    ,CASH,70,0,70
03/01/2024,13,    ,CASH,312.43,8.57,321
03/01/2024,14,    ,CASH,88.84,4.66,94
03/01/2024,15,    ,CASH,40,0,40
04/01/2024,1,    ,CARD,169.49,30.51,200
04/01/2024,2,    ,CASH,107.33,3.67,111
04/01/2024,3,    ,CASH,40.25,0,40
04/01/2024,4,    ,CARD,67.46,8.54,76
04/01/2024,5,    ,CASH,56.93,1.07,58
04/01/2024,6,    ,CASH,133,0,133
04/01/2024,7,    ,CASH,206,0,206
04/01/2024,8,    ,CASH,1109.89,11.61,1122
04/01/2024,9,    ,CASH,207,0,207
04/01/2024,10,    ,CASH,63.56,11.44,75
04/01/2024,11,    ,CASH,166,0,166
04/01/2024,12,    ,CASH,148.88,4.12,153
04/01/2024,13,    ,CASH,140.93,3.07,144
04/01/2024,14,    ,CASH,75,0,75
05/01/2024,1,    ,CASH,119,0,119
05/01/2024,2,    ,CASH,155.92,2.58,159
05/01/2024,3,    ,CASH,156.27,13.73,170
05/01/2024,4,    ,CASH,116.95,3.05,120
05/01/2024,5,    ,CASH,20,0,20
05/01/2024,6,    ,CASH,81,0,81
05/01/2024,7,    ,CASH,108,0,108
05/01/2024,8,    ,CASH,215.37,4.42,220
05/01/2024,9,    ,CARD,125,0,125
05/01/2024,10,    ,CASH,111,0,111
05/01/2024,11,    ,CASH,38,0,38
05/01/2024,12,    ,CASH,912.91,9.09,922
05/01/2024,13,    ,CASH,62,0,62
05/01/2024,14,    ,CASH,171.08,11.72,183
05/01/2024,15,    ,CASH,10,0,10
05/01/2024,16,    ,CASH,113,0,113
05/01/2024,17,    ,CASH,10,0,10
05/01/2024,18,    ,CASH,58.95,3.05,62
05/01/2024,19,    ,CASH,48.47,1.53,50
05/01/2024,20,    ,CARD,77.86,2.14,80
05/01/2024,21,    ,CASH,180.93,4.07,185
06/01/2024,1,    ,CARD,202.05,5.95,208
06/01/2024,2,    ,CARD,124,0,124
06/01/2024,3,    ,CASH,118,0,118
06/01/2024,4,    ,CARD,115.85,9.15,125
06/01/2024,5,    ,CASH,114,0,114
06/01/2024,6,    ,CASH,93.29,6.71,100
06/01/2024,7,    ,CASH,65.81,1.19,67
06/01/2024,8,    ,CASH,79.05,3.95,83
06/01/2024,9,    ,CASH,135.95,4.05,140
06/01/2024,10,    ,CARD,194,0,194
06/01/2024,11,    ,CASH,125,0,125
06/01/2024,12,    ,CARD,167.5,0,168
06/01/2024,13,    ,CASH,182.05,5.95,188
06/01/2024,14,    ,CASH,1286.81,10.69,1298
06/01/2024,15,    ,CASH,28,0,28
06/01/2024,16,    ,CARD,31.19,3.81,35
06/01/2024,17,    ,CASH,36.95,3.05,40
06/01/2024,18,    ,CASH,16.95,3.05,20
06/01/2024,19,    ,CASH,63.54,2.46,66
06/01/2024,20,    ,CASH,31.25,8.75,40
07/01/2024,1,    ,CASH,75.71,2.29,78
07/01/2024,2,    ,CASH,270.61,8.39,279
07/01/2024,3,    ,CARD,770,0,770
07/01/2024,4,    ,CARD,99,0,99
07/01/2024,5,    ,CARD,258.1,12.4,271
07/01/2024,6,    ,CASH,45,0,45
07/01/2024,7,    ,CASH,74,0,74
07/01/2024,8,    ,CASH,80,0,80
07/01/2024,9,    ,SPLIT,142.04,12.96,155
07/01/2024,10,    ,CASH,78.45,3.05,82
07/01/2024,11,    ,CASH,38.14,6.86,45
07/01/2024,12,    ,CASH,50,0,50
07/01/2024,13,    ,CASH,199.49,12.51,212
07/01/2024,14,    ,CARD,66,0,66
07/01/2024,15,    ,CARD,465.82,2.68,469
